start	end	text
419240	424240	То есть, у нас включено сейчас аппаратное ускорение графики в нашем браузере.
424240	429240	Итак, давайте мы сейчас перейдем на тест с нашими отпечатками.
429240	431240	Обновим страницу.
432240	435240	И запомним вот эти отпечатки.
435240	437240	И запишем их.
439240	448240	Вот наши отпечатки с теста от Vector T13.
448240	457240	И вот, соответственно, отпечаток с теста от Browser Leaks.
457240	460240	Я думаю, в принципе, мы запомним.
460240	462240	Но, на всякий случай, подпишу.
465240	467240	Что же произойдет сейчас?
467240	471240	Сейчас мы с вами отключим аппаратное ускорение графики.
471240	475240	Делается это в настройках, после чего необходимо перезагрузить наш браузер.
475240	482240	И, следуя логике, той общепринятой логике, которую мы все знаем,
482240	486240	при смене видеокарты меняется отпечаток канваса.
486240	490240	То есть, сейчас, после того, как мы перезагрузим наш браузер,
490240	493240	мы отключаем искусственно видеокарту.
493240	496240	И, соответственно, отпечаток канваса у нас должен поменяться.
496240	498240	Правильно?
498240	503240	Ведь так ведь работает на всех обычных компьютерах, на всех реальных компьютерах.
503240	505240	Давайте проверим.
505240	507240	Перезагружаем наш браузер.
507240	510240	И начнем мы с Browser Leaks.
510240	515240	Итак, на Browser Leaks у нас даже ушла уникальность.
515240	518240	У нас теперь отпечаток изменился.
518240	524240	То есть, мы видим, что действительно отпечаток канваса зависит от видеокарты.
524240	525240	Правильно?
525240	529240	Давайте еще раз проверим сейчас, что у нас не работает аппаратное ускорение.
529240	531240	Вот, аппаратное ускорение не работает.
531240	535240	И плюс ко всему, в WebGL у нас мы не видим теперь нашу видеокарту.
535240	537240	То есть, используется программный движок.
537240	543240	Соответственно, всегда на протяжении вот последних 10 лет,
543240	546240	когда мы меняли канвас, когда мы говорили о нем,
546240	549240	мы всегда были правы, что канвас зависит от видеокарты.
549240	552240	В принципе, на этом урок можно было бы закончить.
552240	554240	Если бы не одно «но».
555240	559240	Это все являлось фейком.
559240	566240	Вы множество лет верили в фейк, который распространялся различного рода людьми.
566240	568240	Мною в том числе.
568240	569240	Почему?
569240	574240	Потому что правда, она должна находиться в небольшом кругу людей.
574240	578240	Если она будет доступна всем, будет не очень хорошо.
578240	583240	А поскольку мы с вами как раз в моем авторском курсе находимся
583240	585240	в таком небольшом уютном кругу людей,
585240	589240	здесь можно наконец-то сказать вам правду.
589240	592240	Давайте перейдем мы сейчас, после того, как мы выяснили,
592240	595240	что отпечаток канваса зависит от видеокарты,
595240	597240	давайте мы перейдем сейчас на мой тест.
597240	600240	Вот он, смотрите.
600240	605240	Давайте мы скопируем данные значения и сравним их с теми,
605240	609240	которые были у нас до того, как мы отключили видеокарту.
609240	612240	Давайте вот так вот мы проверим.
613240	617240	With GPU.
617240	620240	А дальше.
620240	626240	Without GPU.
626240	629240	А что мы видим сейчас на своих экранах?
629240	636240	Мы видим, что отпечаток канваса GPU у нас поменялся.
636240	642240	В то время как отпечаток канваса CPU остался неизменным.
642240	644240	Почему же так происходит?
644240	650240	Все дело в способе отрисовки.
650240	654240	Дело в том, что канвасов существует несколько видов.
654240	657240	Вообще, если забегаю вперед, я могу сказать,
657240	662240	что лично мне известно чуть более 30 различных видов канваса.
662240	668240	И, конечно же, банальная проверка на сайте BrowserLeaks, она, конечно, хороша.
668240	671240	Но она хороша для, скажем так,
671240	677240	людей, которые находятся лишь в начале эволюции по работе с антифрод-системами.
677240	686240	Для них изменение отпечатка, то, что циферки поменялись, это означает все хорошо.
686240	693240	Но по факту никто из вас не меняет отпечаток этот в реальности.
693240	700240	А теперь давайте включим немного логику и перейдем к техническому, небольшому такому техническому анализу.
700240	703240	Почему происходит такая ситуация?
703240	711240	Дело в том, что браузер Chrome использует, точнее Edge, конечно же, и Opera, хромиум браузеры,
711240	720240	используют графический движок SCIA для рендеринга 2D-операций, включая наш канвас.
720240	725240	Это означает, что когда мы создаем канвас с помощью getContext,
725240	730240	браузер почти всегда ускоряет отрисовку через видеокарту.
730240	733240	Если включено аппаратное ускорение.
733240	740240	То есть, когда у нас работает наша видеокарта, браузер действительно использует нашу видеокарту,
740240	743240	для того, чтобы сформировать этот отпечаток канваса.
743240	746240	И поэтому он у нас меняется.
746240	750240	Но, что же происходит дальше?
750240	756240	Это не значит, что используется, например, та же самая видеокарта.
756240	757240	Почему?
757240	759240	Потому что может ускоряться только определенная скорость.
760240	762240	Определенная часть операции.
762240	764240	Почему так происходит?
764240	770240	Дело в том, что есть у нас в формировании текста, в формировании нашего канваса,
770240	774240	в формировании картинки нашего канваса, у нас есть что?
774240	777240	Давайте посмотрим на них.
777240	779240	У нас есть текст.
779240	781240	У нас есть рисование.
781240	783240	У нас есть сглаживание.
783240	785240	У нас есть наложение цветов.
785240	789240	И поэтому некоторые из этих параметров,
790240	793240	могут отрисовываться с помощью видеокарты.
793240	797240	В то время, как другие будут отрисовываться с помощью процессора.
797240	800240	И это решаете не вы.
800240	802240	Это решает браузерный движок.
802240	805240	Соответственно, когда произошла операция,
805240	807240	кстати, если кого интересует,
807240	810240	для самостоятельных экспериментов, пишем
810240	813240	CANVAS
813240	818240	Как мы видим, по умолчанию у нас включена.
820240	822240	Включено ускорение канваса.
822240	824240	Так вот, идем дальше.
824240	830240	Поскольку мы не управляем отпечатком канвас,
830240	833240	мы привыкли к очень простой операции.
833240	836240	Мы привыкли к такой операции, что
836240	841240	либо же мы меняем какие-то параметры наложения графики,
841240	844240	для того, чтобы изменился отпечаток канваса.
844240	847240	Наш гибридный отпечаток, назовем его так все-таки.
847240	849240	Это правильное название.
849240	852240	Либо же, как в случае с антидетект браузерами,
852240	854240	вводится просто определенный шум
854240	861240	в непосредственно сам ответ по формированию данного изображения.
861240	864240	То есть, мы видим его, вот наш отпечаток канваса,
864240	867240	в принципе, в таком полуголом виде.
867240	871240	После преобразования из байтового массива в BS64.
871240	875240	Так вот, открываются очень интересные горизонты.
875240	877240	В данном случае.
877240	878240	Дело в том, что,
878240	882240	если мы посмотрим, что мы можем отрисовать канвас
882240	887240	отдельно с помощью CPU и отдельно с помощью GPU,
887240	890240	соответственно, мы можем произвести,
890240	894240	точнее не мы, а со стороны антифрод систем,
894240	899240	можно произвести довольно интересное сравнение
899240	901240	и анализ пользователя.
901240	903240	Почему так происходит?
903240	906240	Отрисовка CPU канваса,
906240	910240	она практически не отличается между процессорами.
910240	912240	Что это означает?
912240	915240	А это означает, что когда вы
915240	920240	имеете компьютер, например, с процессором Intel i5,
920240	922240	какой-нибудь там 6700,
922240	925240	я не разбираюсь в них, потому что не использую Intel,
925240	929240	условно Intel i5-6500,
929240	934240	и видеокарта у вас Nvidia 1080,
934240	938240	вы возьмете другой компьютер,
938240	943240	на котором будет, например, Intel i7-7700,
943240	949240	и видеокарта там будет, например, RTX 2080, как у меня.
949240	955240	Как вы думаете, будет ли отличаться канвас видеокарты и канвас процессора?
955240	958240	И здесь кроется самая главная деталь.
958240	964240	Дело в том, что канвас видеокарты действительно будет отличаться.
964240	968240	Но канвас процессора нет.
968240	972240	Почему? Потому что, когда мы выполняем такого рода отрисовку,
972240	977240	она выполняется, повторюсь еще раз, с помощью нашего процессора.
977240	984240	И нет возможности произвести здесь какую-либо большую энтропию,
984240	990240	то есть количество вариаций данного рода отрисовки,
990240	992240	ответов на них,
992240	999240	оно намного меньше, чем количество вариаций в отрисовке с помощью GPU.
999240	1006240	А соответственно, благодаря данному, благодаря данной процедуре,
1006240	1013240	есть возможности у антифрод систем произвести сразу несколько анализов.
1013240	1019240	Первое. Это выяснить приблизительное семейство процессора,
1019240	1022240	на котором работает пользователь.
1022240	1029240	Второе. Произвести анализ на предмет той же самой уникальности.
1029240	1033240	Ведь если пользователь использует браузерный антидетект,
1033240	1042240	браузерный антидетект не отличает отпечаток канваса, запрошенный с помощью видеокарты,
1042240	1045240	от отпечатка канваса, запрошенного с помощью процессора.
1045240	1050240	И соответственно, он подменяет оба этих отпечатка.
1050240	1051240	Почему?
1051240	1057240	Потому что в большинстве случаев они просто отслеживают запрос туда-то URL, например,
1057240	1064240	и затем подменяют содержимое, либо же вносят изменения в байтовый массив.
1064240	1066240	Не важно.
1066240	1069240	Важно лишь то, что они подменяют это.
1069240	1077240	А соответственно, помимо стопроцентной уникальности, условной стопроцентной уникальности отпечатка GPU,
1077240	1080240	на которую нам по большому счету плевать абсолютно,
1081240	1086240	мы имеем также еще и абсолютную уникальность отпечатка CPU.
1086240	1089240	То, чего быть не должно.
1089240	1097240	И фактически, если разобраться так, то канвасов CPU в среде операционной системы Windows,
1097240	1101240	той, которую мы знаем, 10 или 11,
1101240	1107240	по моим подсчетам, их не более, чем 400 штук.
1107240	1109240	Всего-навсего.
1109240	1110240	Всего-навсего.
1111240	1116240	И соответственно, когда собранная с помощью энтропии,
1116240	1121240	например, с помощью тех же самых пользователей и сумасшедшего трафика,
1121240	1125240	собранная с помощью экосистемы Google база данных,
1125240	1130240	которая знает про все существующие процессоры и как она отрисовывает,
1130240	1133240	и как они отрисовывают, соответственно,
1133240	1137240	канвас может элементарно, простым образом,
1137240	1140240	воспрепятствовать антидетект браузерам,
1141240	1142240	в работе.
1142240	1145240	Потому что антидетект браузеры будут показывать,
1145240	1149240	что у них используется абсолютно какое-то уникальное оборудование.
1149240	1151240	Уникальная видеокарта,
1151240	1154240	и, хотя на нее, повторюсь, нам еще раз плевать,
1154240	1157240	и абсолютно уникальный процессор.
1157240	1160240	Вот интересная особенность,
1160240	1162240	про которую мало кто знает.
1162240	1165240	Если мы сейчас с вами посмотрим,
1165240	1169240	вот, очень важный момент, сейчас я вам покажу,
1169240	1172240	не в целях рекламы, а в целях того,
1172240	1174240	чтобы вы поняли, о чем я говорю,
1174240	1177240	потому что, действительно, у пользователей,
1177240	1180240	тех некоторых людей, которым я это все рассказывал,
1180240	1183240	показывал, объяснял,
1183240	1188240	у них немного вставали волосы дыбом, скажем так.
1188240	1190240	Итак, давайте посмотрим сейчас,
1190240	1193240	какой у меня используется отпечаток на браузер Ликси.
1193240	1196240	Вот я сейчас включил аппаратное ускорение графики,
1196240	1198240	соответственно, мы видим наш отпечаток,
1198240	1201240	он у нас есть записанный.
1201240	1203240	Вот он, да.
1203240	1205240	Давайте мы его сохраним.
1205240	1207240	Сохраняем.
1207240	1208240	Есть.
1208240	1215240	И теперь мы с вами выключим нашу виртуальную машину,
1215240	1218240	после чего запустим ее еще раз,
1218240	1222240	но с небольшими изменениями.
1222240	1224240	Итак, запускаем нашу,
1224240	1228240	заходим в список виртуальных машин,
1228240	1231240	нажимаем Свойства,
1231240	1234240	затем Антидетект,
1234240	1242240	и мы сейчас с вами произведем изменение видеокарты.
1242240	1244240	Вот он, смотрите.
1244240	1246240	У нас выбрана наша видеокарта,
1246240	1252240	и я сейчас изменю отпечаток, например, с FP1 на FP4.
1252240	1254240	Мы изменили отпечаток.
1254240	1256240	Запускаем виртуальную машину.
1258240	1261240	И посмотрим сейчас на те результаты,
1261240	1265240	которых мы можем достичь.
1265240	1269240	Так будет визуально более понятно,
1269240	1271240	о чем я говорю,
1271240	1278240	и на что вам стоит обратить невероятно серьезное внимание.
1278240	1284240	Если бы эта информация была у многих людей,
1284240	1286240	которые пытались остаться анонимными,
1286240	1289240	эти многие люди находились бы на свободе.
1289240	1294240	Итак, открываем браузер Google Chrome.
1294240	1297240	Та же виртуальная машина, все то же самое.
1297240	1301240	Переходим сейчас на браузер Leaks.
1301240	1304240	Смотрим на наш отпечаток.
1304240	1306240	Отпечаток у нас поменялся.
1306240	1310240	Правильно, мы сейчас запускаем наш текстовый документ.
1310240	1313240	И проверяем.
1313240	1315240	У нас был отпечаток вот такой вот.
1315240	1318240	Настал у нас отпечаток, соответственно, другой.
1318240	1319240	Вот он.
1319240	1326240	Давайте его тоже запишем.
1326240	1328240	BrowserLeaks.com
1328240	1331240	FP4
1331240	1333240	Вот он.
1333240	1335240	Ну и, соответственно, давайте посмотрим,
1335240	1338240	что у нас не изменилась наша видеокарта.
1338240	1342240	Видеокарта 1660 как была, так и осталась.
1342240	1344240	А теперь мы с вами перейдем на тест.
1344240	1347240	На тест отпечатков.
1347240	1354240	И давайте посмотрим на него.
1354240	1357240	Ну давайте вот сюда.
1357240	1360240	Вот так.
1360240	1368240	Что мы видим сейчас на своих экранах?
1368240	1370240	Что мы видим?
1370240	1372240	Дорогие друзья!
1372240	1375240	И слушатели моего авторского курса.
1375240	1379240	Мы видим, что изменение отпечатка Canvas
1379240	1384240	было успешно проведено на сайте BrowserLeaks
1384240	1385240	и на любом другом.
1385240	1389240	Я вас уверяю, мы сейчас не будем просто на это тратить время.
1389240	1392240	Отпечаток был успешно изменен.
1392240	1394240	Все окей.
1394240	1400240	Но отпечаток CPU Canvas остался неизменным.
1400240	1403240	К чему это нас приводит?
1403240	1407240	Нас это приводит к нескольким интересным умозаключениям.
1407240	1409240	Умозаключение номер один.
1409240	1416240	В антидетекте Vector T13 не используется система шумов
1416240	1419240	или прочего какого-то идиотизма.
1419240	1422240	У нас используются действительные части
1422240	1429240	антидетект, действительные части реальных NVIDIA драйверов.
1429240	1432240	Которые влияют на отрисовку.
1432240	1438240	Соответственно, когда мы изменяем видеокарту
1438240	1440240	или когда мы изменяем отпечаток,
1440240	1445240	это влияет только на отпечаток, полученный с помощью GPU.
1445240	1448240	Или же он же гибридный метод.
1448240	1453240	В то время как отпечаток CPU остается статичным.
1453240	1456240	Возможно вы скажете, что это минус.
1456240	1458240	Но я спешу вас...
1459240	1461240	Обрадовать, что это абсолютно не минус.
1461240	1464240	Если вы смените процессор внутри антидетекта,
1464240	1468240	то, соответственно, у вас поменяется и CPU Canvas.
1468240	1470240	Далее.
1470240	1472240	Это было умозаключение номер один.
1472240	1474240	Умозаключение номер два.
1474240	1477240	В антидетект браузерах,
1477240	1480240	если вы захотите сменить этот отпечаток...
1480240	1482240	Давайте, кстати, посмотрим.
1482240	1488240	У нас, может быть, есть в магазине Хрома какие-нибудь расширения,
1488240	1495240	которые могут менять отпечаток Canvas.
1495240	1499240	Canvas Fingerprint Blocker.
1499240	1501240	Возможно, вот эта утилита сможет нам помочь.
1501240	1506240	Давайте добавим ее в Хром.
1506240	1508240	Итак, мы добавили ее.
1508240	1512240	Давайте проверим сейчас путем обновления страницы, работает ли она.
1512240	1516240	Да, как мы видим, при каждом обновлении страницы у нас...
1516240	1518240	Ну, не при каждом.
1518240	1521240	Оно как-то через раз срабатывает.
1521240	1525240	Но, в принципе, мы видим, что оно более-менее как-то работает.
1525240	1527240	Правильно? Правильно.
1527240	1532240	Давайте теперь перейдем на сайт Vector
1532240	1535240	и попытаемся обновить нашу страницу.
1535240	1537240	Посмотрите, что происходит.
1543240	1545240	Меняется отпечаток CPU,
1545240	1548240	в то время как GPU остается статичным.
1548240	1550240	Знаете, кстати, почему так происходит?
1550240	1553240	Потому что это расширение, например,
1553240	1556240	оно меняет первый отпечаток, который она найдет на странице.
1556240	1559240	Оно не может поменять сразу несколько.
1559240	1563240	И поэтому получается такой идиотизм.
1563240	1571240	Дело в том, что данное расширение точно так же, как и Anti-Detect браузеры,
1571240	1574240	оно просто меняет ответ браузера.
1574240	1577240	Но не меняет никаким образом,
1577240	1580240	не производит дифференциацию между типами канваса.
1580240	1583240	И, соответственно, приводит нас к чему?
1583240	1587240	Приводит нас к финишу нашего второго умозаключения.
1587240	1592240	А именно, все это полное говно.
1592240	1597240	Если у вас меняется CPU канвас при смене видеокарты,
1597240	1601240	это означает, что либо используется система
1601240	1603240	подмены ответов,
1604240	1606240	либо ответа туда-то URL,
1606240	1610240	либо же какое-нибудь еще из говнищ,
1610240	1615240	которое сделали разработчики Anti-Detect браузеров.
1615240	1618240	Ну и выходим мы к умозаключению номер три.
1618240	1622240	Давайте удалим сразу же это говнище.
1622240	1626240	Уходим мы к умозаключению номер три.
1626240	1631240	Почему же Anti-Detect ни хрена не работают?
1631240	1633240	А потому что
1634240	1637240	люди стараются изменить вот этот отпечаток,
1637240	1639240	у них получается.
1639240	1641240	Но единственное, что они могут обойти,
1641240	1645240	это антифрод-систему браузера Ликса.
1645240	1648240	Ни против какого серьезного противника,
1648240	1651240	против серьезной антифрод-системы,
1651240	1656240	данные детские поделки не могут выстоять.
1656240	1661240	То, что у людей получается работать каким-либо образом,
1661240	1663240	это...
1663240	1665240	случайность,
1665240	1668240	но никаким образом не закономерность.
1668240	1670240	Потому что
1670240	1672240	Anti-Detect работает хорошо,
1672240	1676240	когда у тебя 10 аккаунтов из 10.
1676240	1680240	А если у тебя один аккаунт из 10, 20, 30,
1680240	1683240	то это просто чистая случайность,
1683240	1688240	а никаким образом не качественная работа программного обеспечения.
1688240	1692240	Ну и заходя в финальную часть нашего урока,
1692240	1695240	я хотел бы сказать следующее.
1695240	1699240	Благодаря сравнению отпечатка CPU
1699240	1702240	и отпечатка GPU Canvas
1702240	1707240	есть возможность определения реальной операционной системы,
1707240	1710240	реального браузера пользователя.
1710240	1712240	Ну, это вы уже, наверное, знаете.
1712240	1716240	Но, помимо прочего, да, кстати, по поводу...
1716240	1719240	по поводу реального браузера,
1719240	1721240	давайте мы сейчас с вами запустим вот эту вот...
1722240	1724240	вещь.
1724240	1725240	Вот смотрите.
1725240	1730240	Согласно статистике, данный отпечаток использовался на Chrome, на Windows и так далее.
1730240	1732240	Ну, вот примерно таким образом.
1732240	1735240	Только лишь в разрезе намного большего
1735240	1737240	количества посетителей,
1737240	1739240	сотен миллионов ежедневных посетителей.
1739240	1742240	Есть возможность определить операционную систему,
1742240	1744240	есть возможность определить браузер,
1744240	1747240	есть возможность определить семейство процессора,
1747240	1750240	есть возможность определить,
1750240	1752240	используется ли какого-либо
1752240	1754240	рода антидетект
1754240	1757240	на данном ПК.
1757240	1760240	Поэтому отпечаток Canvas не так прост,
1760240	1762240	как может показаться на первый взгляд.
1762240	1765240	И я надеюсь, что
1765240	1768240	после 10 лет лжи
1768240	1770240	вы, наконец-то,
1770240	1772240	немного приоткрыли для себя
1772240	1774240	завесу
1774240	1776240	реальности.
1776240	1780240	О том, как действительно реально работает отпечаток Canvas.
1780240	1783240	Если будет необходимо,
1783240	1785240	если вы захотите,
1785240	1789240	вы можете оставить отзывы.
1789240	1791240	Я вам покажу
1791240	1795240	еще более глубокую работу с отпечатком Canvas.
1795240	1798240	И насколько с ним можно делать,
1798240	1800240	в принципе, интересные вещи.
1800240	1802240	Главное, если ты знаешь,
1802240	1804240	как он работает правильно.
1804240	1808240	И в самом конце моего выступления,
1808240	1810240	этого урока,
1810240	1813240	я еще хочу вам сказать одну очень важную вещь.
1813240	1815240	Сайты-чекеры,
1815240	1817240	которые вы видите,
1817240	1819240	они сделаны
1819240	1822240	только лишь для одной цели.
1822240	1824240	Для того, чтобы
1824240	1826240	продавать свои продукты.
1826240	1828240	Вы думаете, мой чекер
1828240	1830240	исключение?
1830240	1832240	Мой чекер показывает больше правды.
1832240	1834240	Но согласитесь, он тоже
1834240	1837240	показывает так, что мой софт работает великолепно.
1837240	1840240	Спасибо за внимание.
1840240	1843240	С вами был Вектор Т13.
1843240	1846240	До встречи в следующем уроке.
