start	end	text
180220	184420	И тогда в Украину мне высылали, Google высылал по несколько чеков.
184760	189000	Тогда работали так, что Google высылал чеки, размер чека 100 долларов.
189160	194460	Высылались они автоматически, когда ты доходишь до порога 100 долларов.
195200	202260	И, соответственно, даже с обычного Тора в 2011 году можно было зарабатывать довольно-таки приличные деньги.
202720	204260	То есть, ну...
205040	208280	Тысяча долларов в день вообще не составляло никакого труда.
209280	217220	А сейчас, фактически каждый месяц мы имеем какую-то новую технологию, какие-то новые отпечатки.
217220	224640	И вот сейчас браузер FutureModel позволяет считать до 16 тысяч параметров с нашего ПК.
225300	232220	Затем происходит так называемое построение фьючер-модели дерева.
233400	234220	То есть...
235040	238540	Условно говоря, у дерева есть определенные ответвления.
238980	246420	Ответвления Windows, ответвления Navigator, ответвления CSS далеко не все представлены здесь в моем чекере.
246420	248420	То есть у меня здесь менее чем полторы...
249020	251520	Ну, около полутора тысяч параметров.
251860	253580	И всего из 16 тысяч.
254520	259280	Я не стал заморачиваться на этом долго, потому что логика, в принципе, одна и та же.
259420	260820	Получить максимум.
261160	263820	То есть все, что только можно получить с ПК-пользователя.
265040	269320	Затем, после того, как были получены эти фактически 16 тысяч различных параметров,
269680	277960	в которые входит, например, размер вашего окна, DPI вашего монитора, разрешение монитора, например.
278500	285240	Все, что только можно себе представить, вот все, что собирает у вас браузер, вот то же самое видят и веб-ресурсы.
285320	287420	Ну, в большей степени, скажем так.
289400	292260	Затем это все разделяется на определенные ветви.
292960	294960	И каждая из этих ветвей, она приводит...
295040	300040	Приводит к определенному значению, которое затем хэшируется.
300560	303280	То есть, например, вот у нас все, что касается перфоманса.
304240	310680	В моем случае это 22 основные метрики и 15 дополнительных метрик.
311080	313320	То есть всего у нас сколько здесь?
313400	317360	37 различных метрик, которые относятся к перфомансу.
317440	320860	При этом, повторюсь, у меня здесь представлены еще далеко не все.
321860	324920	Благодаря этому около 16 тысяч атрибутов.
325040	326520	Как и написано в шапке у меня.
327140	332560	Около 16 тысяч атрибутов позволяют создать невероятно точный отпечаток.
332960	338080	Который подвержен так называемой процедуре фази хэширования.
338620	340820	Что означает процедура фази хэширования?
341340	348080	Она означает то, что если в этом отпечатке, как мы с вами понимаем, как отпечаток составляется.
348080	352360	То есть, если изменить какое-то одно значение, то, соответственно, изменится и сам отпечаток.
352840	354080	Но в данном случае...
355040	361040	Так не работает, потому что при составлении одного единого отпечатка, применяется процедура фази хэширования.
361040	366540	То есть, есть возможность игнорировать до 30% изменений в этом отпечатке.
366540	372940	Соответственно, если вы задумали, что вы хотите, например, изменить размер окна или размер DPI, и у вас изменится отпечаток.
372940	377940	У вас ничего не получится, поскольку все остальные значения, они будут персистентными.
377940	383640	И, соответственно, когда будет происходить процедура поиска мультиаккаунтинга.
383640	384940	Поиска того же самого человека.
384940	393940	Она будет проходить как по общему отпечатку, так и по отпечатку с фази хэширования.
393940	399940	То есть, иными словами, будет поиск производиться по тому значению, которое было получено.
399940	401940	Вот в моем случае, например.
401940	407940	И значение, полученному без определенного количества данных.
407940	411940	Соответственно, таким образом, будет у пользователя два отпечатка.
411940	413940	Один основной, другой.
414940	416940	После процедуры фази хэширования.
416940	425940	Что позволяет добиться, на текущий момент, беспрецедентной точности в 99,7%.
425940	428940	То есть, фактически, повторюсь, что это такое?
428940	436940	Все, что можно, все данные, которые можно собрать с компьютера, они упакованы в одно единое решение.
436940	440940	Плюс к этому нужно сказать, почему компании в этом заинтересованы.
440940	443940	Потому что такая модель позволяет анализировать.
444940	445940	Вариабельность.
445940	450940	И храниться в 9 раз компактнее, чем обычный JSON.
450940	454940	То есть, невероятная экономия ресурсов.
454940	456940	Если мы говорим об одном человеке.
456940	458940	Это, в принципе, уже хорошо.
458940	461940	В 9 раз уменьшить все данные о нем.
461940	466940	Но, если мы говорим о, например, сотнях миллионов людей в день.
466940	469940	Как, например, Amazon, либо же Google.
469940	472940	То такие изменения в хранении данных.
472940	475940	Они являются чуть ли не ключевыми.
475940	480940	Потому что они позволяют экономить огромное количество средств и ресурсов, соответственно.
480940	486940	И плюс ко всему, это решение, ну, пример его вы можете увидеть сейчас на экране.
486940	488940	Что собирается, какие отпечатки.
488940	493940	То есть, вообще, абсолютно, совершенно все, что можно найти.
493940	498940	Любая новая технология, любой новый API, который появляется в браузере.
498940	500940	Будет перемещен, соответственно.
500940	505940	И будет отображен в технологии браузер FM.
505940	510940	А данная технология обладает огромнейшим датасетом.
510940	518940	И, фактически, она может работать сегментированно, независимо друг от друга.
518940	519940	Что это означает?
519940	526940	Это означает, что можно игнорировать определенные параметры для поиска кандидата.
526940	529940	То есть, когда у вас, например, произойдет замена.
529940	532940	Произойдет замена вашей видеокарты.
532940	537940	Обычные ресурсы, они, конечно же, вас будут считать новым человеком.
537940	541940	В то время как браузер FM не будет считать вас новым человеком.
541940	545940	Он сможет найти вас, игнорируя ветвь GPU.
545940	549940	Или же, пример, совершенно новый ПК.
549940	555940	Будет ли возможностью браузер FM идентифицировать вас, как пользователя нового компьютера.
555940	558940	Либо же вы будете известны уже как...
559940	564940	Скажем так, как уже участвующий в этой системе.
564940	565940	Нет.
565940	570940	Браузер FM сможет определить, что вы являетесь абсолютно новым пользователем.
570940	571940	То есть, то, что...
571940	575940	Я имею в виду не то, что новым для этой системы.
575940	578940	А новым в том плане, что вы полностью обновили свою систему.
578940	580940	Произвели переустановку операционной системы.
580940	585940	Изменили, например, обновили свой браузер и так далее.
585940	588940	То есть, браузер FM позволяет вычислить использование...
589940	592940	Переустановки операционной системы.
592940	598940	Конечно же, это может напрямую влиять и на использование виртуальных машин.
598940	606940	Но, повторюсь, поскольку браузер FM использует огромный конгломерат различного рода параметров.
606940	608940	Которые доступны с нашего ПК.
608940	611940	Параметры, которые относятся к железу.
611940	618940	Если они будут изменены, то, конечно, и обойти браузер FM не составляет в данном случае большого труда.
619940	621940	Но составляет труд что?
621940	627940	Составляет труд изменение самого вида вновь установленной виртуальной машины.
627940	630940	Или вновь установленной обычной машины.
630940	631940	Почему?
631940	634940	Потому что, например, если мы возьмем тот же самый сайт BrowserLeaks.
638940	642940	Вот мы обратимся к методике определения шрифтов.
642940	644940	Которые вы видите сейчас на экране.
644940	647940	Например, данные отпечатки, которые находятся у меня.
647940	648940	Они не являются виртуальными.
649940	652940	Они являются новыми.
652940	659940	То есть, иными словами, в данной операционной системе установлен определенный слой программного обеспечения.
659940	663940	А если же мы возьмем абсолютно новую машину.
663940	666940	Будь то виртуальная машина, будь то физическая машина.
666940	669940	Установим на нее новую операционную систему Windows.
669940	675940	То благодаря анализу тех же самых шрифтов мы можем определить языковую версию этой машины.
675940	678940	И будет ли она соответствовать тому региону, который мы заявляем.
678940	679940	Второе.
679940	682940	Мы можем определить, что машина является полностью чистой.
682940	687940	Помимо этого, мы можем определить использование специфического программного обеспечения.
687940	691940	Такого как Microsoft Office, Adobe Photoshop, например.
691940	692940	И так далее.
692940	695940	То есть, это нам дает, точнее, антифрод-системам.
695940	703940	Это дает возможность определить то, что мы являемся новым пользователем, бот-пользователем или легитимным пользователем.
703940	707940	То есть, даже банальная дополнительная установка шрифтов, которая используется в Microsoft Office.
707940	711940	Она уже помогает обойти множество метрик.
711940	719940	Это отчасти является и составляющей браузера FM по определению нашей новой машины.
719940	721940	Например, если мы только ее установили.
721940	729940	Плюс, конечно же, браузер FM использует энумерацию расширений для браузера.
729940	736940	То есть, сейчас редко где можно найти компьютер, на котором не установлен отблок, либо же юблок.
736940	741940	Какое-либо другое разрешение для расширения, для блокировки рекламы.
741940	743940	Важный довольно параметр.
743940	745940	Кстати, всякий случай.
745940	747940	Запомните, а то забудете.
747940	751940	Использование отблок в браузере крайне рекомендуется.
751940	753940	Крайне рекомендуется. Почему?
753940	758940	Потому что это является одним из важных признаков использования браузером реальным пользователем.
758940	760940	Так что обратите на это большое внимание.
760940	762940	Браузер FM.
762940	764940	Данный его код усеченный.
764940	769940	Будет доступен на сайте DetectExpert, а также в приложении к данному курсу.
769940	772940	Но, что хотелось бы сказать от себя.
772940	775940	Если мы говорим по поводу проблематики.
775940	782940	Проблематика работы с данным типом фингерпринтинга заключается в следующем.
782940	789940	При использовании вновь установленных ВПС, либо же удаленных серверов.
789940	794940	Есть возможность определения, что это новая операция.
794940	797940	Если используется Windows Server.
797940	803940	Есть возможность определить, что используется действительно серверная версия операционной системы.
803940	807940	Поэтому, если вдруг захотите по какой-то непонятной причине работать с серверами.
807940	809940	Ставьте домашнюю.
809940	811940	Далее.
811940	814940	Использование виртуальной машины.
814940	816940	Определяется великолепнейшим образом.
816940	819940	Вообще без каких-либо проблем в данном случае.
819940	822940	Использование антидетек браузеров.
822940	823940	Точно также.
823940	827940	Ну и самое главное, про что вообще призываю вас полностью забыть.
827940	830940	Это использование подмены юзер-агента.
830940	835940	Данная опция, она перестала быть актуальной еще в году, наверное, 2017.
835940	840940	И использовать ее сейчас, ну это просто полнейшего рода идиотизм.
840940	847940	Потому что определение использования реального браузера не составляет никакого труда.
847940	849940	Не только благодаря браузеру FM, например.
849940	852940	Либо же WASP фингерпринту, который мы изучали ранее.
853940	856940	Или благодаря технологии, которая была изобретена давным-давно.
856940	858940	Это аудиоконтекст.
858940	861940	Где у каждого движка браузера есть свой собственный отпечаток.
861940	863940	Но сейчас не об этом.
863940	865940	И продолжаем.
865940	873940	Вариаций использования данного программного продукта, браузер FM, есть огромное количество.
873940	880940	Но в первую очередь он будет проблематичен для пользователей мобильных телефонов.
880940	881940	Как ни странно.
881940	883940	И унификация есть.
883940	885940	То есть я имею в виду оборудование одно и то же.
885940	893940	Но тем не менее, благодаря свойствам операционной системы Android, определение пользователя не составляет никакого труда.
893940	898940	Даже несмотря на то, что не нужно даже устанавливать программное обеспечение.
898940	907940	Если сейчас метрики на мобильных браузерах, они слишком сильно отстают от метрик установленного программного обеспечения.
907940	910940	То благодаря браузеру FM есть возможность.
911940	918940	Полностью искоренить ситуацию и идентифицировать пользователя максимально четко.
918940	924940	Так что в ближайшее время ждите появления данного отпечатка на антифрауд системах.
924940	929940	Поскольку тесты его прошли великолепно и с большим успехом.
929940	937940	Техническая документация, если вас заинтересует, доступна в дополнительном файле, который вы можете найти вместе с этим уроком.
937940	941940	Также вы можете ознакомиться с исходным кодом данного чата.
941940	945940	Ну и проверить соответственно на своих ресурсах.
945940	954940	Также хочу обратить ваше внимание, что в данном чекере процедура фазы хеширования, которая может игнорировать некоторые ветки, она еще не реализована.
954940	964940	Ее довольно сложно реализовать, поэтому я не стал тратить на это несколько недель своего времени для того, чтобы показать как это будет.
964940	970940	Но я думаю, что в ближайшее время на сайте DetectExpert появится уже более продвинутая версия данного чека.
971940	978940	Такая, которая приближена к продакшену в существующих антифрауд системах.
978940	989940	И да не введут вас в заблуждение некоторые изменения, которые вы можете произвести путем манипуляции с свойствами навигатора или окна.
989940	996940	Поскольку, как я и говорил, изменение одного параметра, конечно же, может изменить и сам общий полный хеш.
996940	999940	Но не будет влиять на остальные ветви.
999940	1000940	Которые также будут влиять на другие ветви.
1000940	1004940	Которые также будут подвержены анализу.
1004940	1007940	В частности, например, можно сделать следующим образом.
1007940	1015940	Ветка, например, Windows будет иметь меньший удельный вес, чем ветка Performance.
1015940	1028940	И в ветке Performance, когда собирается информация о производительности всех ваших устройств, которые можно получить с помощью браузера, будет иметь больший вес в построении отпечатка.
1028940	1033940	Чем, например, легкоизменяемая ветка Windows, либо же навигатор.
1033940	1036940	Спасибо за внимание. С вами был Vector T13.
